Reviewer,Local Guide,Reviews,Photos,Stars,Review,Date,Visited on,Wait time,Reservation recommended,review_text_raw,rating,review_date,reviewer_name,char_len_raw,clean_text,tokens,word_count,char_count,sentiment_score,sentiment_label
Original Asherella,False,5,1,3,"Saw NIN at the Spectrum Center last night, the show was great however the venue is getting increasingly more difficult to visit. Security is jerky and defensive in general, I've seen many bands at the Spectrum Center going all the way back to when it was still Time Warner. I frequently go to concerts and am well versed in venuearena etiquette. That being said, a few years back I purchased a LIVE NATION concert bag, which is basically a small clear rucksack, at a concert in which my already small bag was still too big. Since then, I have taken this 'concert bag' to every show I've been to including ones at the Spectrum Center because it is literally designed to meet venue bag requirements. Last night however, security tried to keep me from entering with my 'concert bag'. The measuring board they were using for bag sizing was 2 centimeters shorter than my bag that was literally designed and sold by the people that sold me the tickets to this concert!!!!! Like... excuse me?!?! I finally convinced them to let me in with it BUT after that I had a Zippo lighter in my bag and they wanted me to throw it away!!!! My concert companion ran it back to the hotel but seriously?!?! Your staff asked me to throw away a 50 lighter!!! One even said 'if you throw that away I am gonna take it'. Evidently they weren't allowing anyone inside with lighters, vapes or even a pack of cigarettes!!! What?!? I understand safety and security rules and regulations, most of which I think are pretty reasonable and it is reassuring no one is allowed in with a knife or weapon BUT what is someone going to do with a cigarette? Are you worried someone is going to set a fire? It is so dumb and the security situation in general is getting ever more draconian. If you're going to be so strict with this type of stuff you need to have a bagcoat check so you don't have to throw away your personal property. How anyone thinks it is reasonable to ask a patron to throw their baglighterwhatever away is beyond me. I will say the lovely girl that scanned our tickets was very pleasant and sweet. The best part of the venue is the fountain Diet Dr. Pepper and free refills, with the price of drinks the refills should be free.",a month ago,,,,"Saw NIN at the Spectrum Center last night, the show was great however the venue is getting increasingly more difficult to visit. Security is jerky and defensive in general, I've seen many bands at the Spectrum Center going all the way back to when it was still Time Warner. I frequently go to concerts and am well versed in venuearena etiquette. That being said, a few years back I purchased a LIVE NATION concert bag, which is basically a small clear rucksack, at a concert in which my already small bag was still too big. Since then, I have taken this 'concert bag' to every show I've been to including ones at the Spectrum Center because it is literally designed to meet venue bag requirements. Last night however, security tried to keep me from entering with my 'concert bag'. The measuring board they were using for bag sizing was 2 centimeters shorter than my bag that was literally designed and sold by the people that sold me the tickets to this concert!!!!! Like... excuse me?!?! I finally convinced them to let me in with it BUT after that I had a Zippo lighter in my bag and they wanted me to throw it away!!!! My concert companion ran it back to the hotel but seriously?!?! Your staff asked me to throw away a 50 lighter!!! One even said 'if you throw that away I am gonna take it'. Evidently they weren't allowing anyone inside with lighters, vapes or even a pack of cigarettes!!! What?!? I understand safety and security rules and regulations, most of which I think are pretty reasonable and it is reassuring no one is allowed in with a knife or weapon BUT what is someone going to do with a cigarette? Are you worried someone is going to set a fire? It is so dumb and the security situation in general is getting ever more draconian. If you're going to be so strict with this type of stuff you need to have a bagcoat check so you don't have to throw away your personal property. How anyone thinks it is reasonable to ask a patron to throw their baglighterwhatever away is beyond me. I will say the lovely girl that scanned our tickets was very pleasant and sweet. The best part of the venue is the fountain Diet Dr. Pepper and free refills, with the price of drinks the refills should be free.",3.0,,Original Asherella,2208,saw nin spectrum center last night show great however venue getting increasingly difficult visit security jerky defensive general seen many band spectrum center going way back still time warner frequently concert well versed venuearena etiquette said year back purchased live nation concert bag basically small clear rucksack concert already small bag still big since taken 'concert bag' every show including one spectrum center literally designed meet venue bag requirement last night however security tried keep entering 'concert bag' measuring board using bag sizing centimeter shorter bag literally designed sold people sold ticket concert like excuse finally convinced let zippo lighter bag wanted throw away concert companion ran back hotel seriously staff asked throw away lighter one even said 'if throw away gonna take it' evidently allowing anyone inside lighter vapes even pack cigarette understand safety security rule regulation think pretty reasonable reassuring one allowed knife weapon someone going cigarette worried someone going set fire dumb security situation general getting ever draconian going strict type stuff need bagcoat check throw away personal property anyone think reasonable ask patron throw baglighterwhatever away beyond say lovely girl scanned ticket pleasant sweet best part venue fountain diet pepper free refill price drink refill free,"['saw', 'nin', 'spectrum', 'center', 'last', 'night', 'show', 'great', 'however', 'venue', 'getting', 'increasingly', 'difficult', 'visit', 'security', 'jerky', 'defensive', 'general', 'seen', 'many', 'band', 'spectrum', 'center', 'going', 'way', 'back', 'still', 'time', 'warner', 'frequently', 'concert', 'well', 'versed', 'venuearena', 'etiquette', 'said', 'year', 'back', 'purchased', 'live', 'nation', 'concert', 'bag', 'basically', 'small', 'clear', 'rucksack', 'concert', 'already', 'small', 'bag', 'still', 'big', 'since', 'taken', ""'concert"", ""bag'"", 'every', 'show', 'including', 'one', 'spectrum', 'center', 'literally', 'designed', 'meet', 'venue', 'bag', 'requirement', 'last', 'night', 'however', 'security', 'tried', 'keep', 'entering', ""'concert"", ""bag'"", 'measuring', 'board', 'using', 'bag', 'sizing', 'centimeter', 'shorter', 'bag', 'literally', 'designed', 'sold', 'people', 'sold', 'ticket', 'concert', 'like', 'excuse', 'finally', 'convinced', 'let', 'zippo', 'lighter', 'bag', 'wanted', 'throw', 'away', 'concert', 'companion', 'ran', 'back', 'hotel', 'seriously', 'staff', 'asked', 'throw', 'away', 'lighter', 'one', 'even', 'said', ""'if"", 'throw', 'away', 'gonna', 'take', ""it'"", 'evidently', 'allowing', 'anyone', 'inside', 'lighter', 'vapes', 'even', 'pack', 'cigarette', 'understand', 'safety', 'security', 'rule', 'regulation', 'think', 'pretty', 'reasonable', 'reassuring', 'one', 'allowed', 'knife', 'weapon', 'someone', 'going', 'cigarette', 'worried', 'someone', 'going', 'set', 'fire', 'dumb', 'security', 'situation', 'general', 'getting', 'ever', 'draconian', 'going', 'strict', 'type', 'stuff', 'need', 'bagcoat', 'check', 'throw', 'away', 'personal', 'property', 'anyone', 'think', 'reasonable', 'ask', 'patron', 'throw', 'baglighterwhatever', 'away', 'beyond', 'say', 'lovely', 'girl', 'scanned', 'ticket', 'pleasant', 'sweet', 'best', 'part', 'venue', 'fountain', 'diet', 'pepper', 'free', 'refill', 'price', 'drink', 'refill', 'free']",200,2208,0.9913,positive
Jeff Bernhardt,True,42,10,2,"Attended a WWE event and was troubled when using the restroom and found out they had NO hand soap and NO towels. Im sure WWE might not have been a huge booking but arent soap and hand towels the bare minimum? My wife reported that the womens had no towels and one bottle of soap available. Spectrum center, lets do better!!",a month ago,,,,"Attended a WWE event and was troubled when using the restroom and found out they had NO hand soap and NO towels. Im sure WWE might not have been a huge booking but arent soap and hand towels the bare minimum? My wife reported that the womens had no towels and one bottle of soap available. Spectrum center, lets do better!!",2.0,,Jeff Bernhardt,323,attended wwe event troubled using restroom found hand soap towel sure wwe might not huge booking arent soap hand towel bare minimum wife reported womens towel one bottle soap available spectrum center let better,"['attended', 'wwe', 'event', 'troubled', 'using', 'restroom', 'found', 'hand', 'soap', 'towel', 'sure', 'wwe', 'might', 'not', 'huge', 'booking', 'arent', 'soap', 'hand', 'towel', 'bare', 'minimum', 'wife', 'reported', 'womens', 'towel', 'one', 'bottle', 'soap', 'available', 'spectrum', 'center', 'let', 'better']",34,323,0.6451,positive
Millie Mpay,True,20,2,2,"Spectrum Center is cool and has a crazy nice atmosphere but the prices are outrageous and the navigation is really off. Not to mention their app really really sucks, and their Spectrum Center support number doesn't lead to anything other than the digital voice telling you that any option you select is an invalid option. Not to mention the food is crazy EXPENSIVE. Spending 85 at Chick-fil-A for 3 sandwiches, 1 fry, two 8 count nuggets and two drinks is crazy work. That very same purchase at the very most would cost me MAYBE 35-40 at a regular Chick-fil-A. But I wanted to provide a great and seamless experience for my kids so I purchased it. And the girl at the counter was really nice, so that made it worth it as well. They have some awesome events though so that's what definitely attracts the crowd. And my Hornets won so I'm definitely happy about that. Probably will go there to see Katt, but, after that, I don't know how much more I will spend money at Spectrum Center.",2 months ago,,,,"Spectrum Center is cool and has a crazy nice atmosphere but the prices are outrageous and the navigation is really off. Not to mention their app really really sucks, and their Spectrum Center support number doesn't lead to anything other than the digital voice telling you that any option you select is an invalid option. Not to mention the food is crazy EXPENSIVE. Spending 85 at Chick-fil-A for 3 sandwiches, 1 fry, two 8 count nuggets and two drinks is crazy work. That very same purchase at the very most would cost me MAYBE 35-40 at a regular Chick-fil-A. But I wanted to provide a great and seamless experience for my kids so I purchased it. And the girl at the counter was really nice, so that made it worth it as well. They have some awesome events though so that's what definitely attracts the crowd. And my Hornets won so I'm definitely happy about that. Probably will go there to see Katt, but, after that, I don't know how much more I will spend money at Spectrum Center.",2.0,,Millie Mpay,983,spectrum center cool crazy nice atmosphere price outrageous navigation really not mention app really really suck spectrum center support number lead anything digital voice telling option select invalid option not mention food crazy expensive spending chick fil sandwich fry two count nugget two drink crazy work purchase would cost maybe regular chick fil wanted provide great seamless experience kid purchased girl counter really nice made worth well awesome event though that's definitely attracts crowd hornet definitely happy probably see katt know much spend money spectrum center,"['spectrum', 'center', 'cool', 'crazy', 'nice', 'atmosphere', 'price', 'outrageous', 'navigation', 'really', 'not', 'mention', 'app', 'really', 'really', 'suck', 'spectrum', 'center', 'support', 'number', 'lead', 'anything', 'digital', 'voice', 'telling', 'option', 'select', 'invalid', 'option', 'not', 'mention', 'food', 'crazy', 'expensive', 'spending', 'chick', 'fil', 'sandwich', 'fry', 'two', 'count', 'nugget', 'two', 'drink', 'crazy', 'work', 'purchase', 'would', 'cost', 'maybe', 'regular', 'chick', 'fil', 'wanted', 'provide', 'great', 'seamless', 'experience', 'kid', 'purchased', 'girl', 'counter', 'really', 'nice', 'made', 'worth', 'well', 'awesome', 'event', 'though', ""that's"", 'definitely', 'attracts', 'crowd', 'hornet', 'definitely', 'happy', 'probably', 'see', 'katt', 'know', 'much', 'spend', 'money', 'spectrum', 'center']",86,983,0.9886,positive
Brad Hodgins,True,36,6,5,After 20 years they finally have cup holders upstairs! Terrific venue that used to have one fatal flaw.,Edited 2 months ago,Weekend,,,After 20 years they finally have cup holders upstairs! Terrific venue that used to have one fatal flaw.,5.0,,Brad Hodgins,103,year finally cup holder upstairs terrific venue used one fatal flaw,"['year', 'finally', 'cup', 'holder', 'upstairs', 'terrific', 'venue', 'used', 'one', 'fatal', 'flaw']",11,103,-0.1759,negative
Jennifer Nivens,True,153,13,4,"We went and saw the Monster Trucks. Good arena, but seats are very little with no leg room.",2 months ago,Weekend,No wait,Yes,"We went and saw the Monster Trucks. Good arena, but seats are very little with no leg room.",4.0,,Jennifer Nivens,91,went saw monster truck good arena seat little leg room,"['went', 'saw', 'monster', 'truck', 'good', 'arena', 'seat', 'little', 'leg', 'room']",10,91,-0.2091,negative
Dio Mt,True,72,57,3,It's ok,Edited 3 months ago,,,,It's ok,3.0,,Dio Mt,7,,[],0,7,0.296,positive
Will Tingle,False,6,0,1,Security is rude. Had nothing in my pockets besides my phone and had to walk through security multiple times,3 months ago,Weekday,1030 min,,Security is rude. Had nothing in my pockets besides my phone and had to walk through security multiple times,1.0,,Will Tingle,108,security rude nothing pocket besides phone walk security multiple time,"['security', 'rude', 'nothing', 'pocket', 'besides', 'phone', 'walk', 'security', 'multiple', 'time']",10,108,0.2023,positive
Jason Simpson,True,231,46,4,Nice place to catch a show but damned everything's expensive,3 months ago,,,,Nice place to catch a show but damned everything's expensive,4.0,,Jason Simpson,60,nice place catch show damned everything's expensive,"['nice', 'place', 'catch', 'show', 'damned', ""everything's"", 'expensive']",7,60,-0.3612,negative
Cooper Burris,False,2,0,3,"Went to see trans Siberian orchestra. Food was mid, show was awesome. Food is expensive though.",3 months ago,Weekend,1030 min,Not sure,"Went to see trans Siberian orchestra. Food was mid, show was awesome. Food is expensive though.",3.0,,Cooper Burris,95,went see trans siberian orchestra food mid show awesome food expensive though,"['went', 'see', 'trans', 'siberian', 'orchestra', 'food', 'mid', 'show', 'awesome', 'food', 'expensive', 'though']",12,95,0.6249,positive
Sherri Hartsell,True,95,130,3,Great venue but takes forever to get in.,3 months ago,Weekend,3060 min,Yes,Great venue but takes forever to get in.,3.0,,Sherri Hartsell,40,great venue take forever get,"['great', 'venue', 'take', 'forever', 'get']",5,40,0.3716,positive
Jesus Cruz,False,12,3,5,The only complaint I have the attendees at the game that show people to there seats took her job way to serious. She literally hit me on the shoulder after the game was done because I had my phone recording the players. Had an attitude and she thought she was talking to a child. She lucky that I dont press charges on how she assaulted me on the way out. I was seating A1 part of the ICC club. A simple please sir we do not allow filming of the players. Theres a way to talk to people,3 months ago,Weekend,No wait,Yes,The only complaint I have the attendees at the game that show people to there seats took her job way to serious. She literally hit me on the shoulder after the game was done because I had my phone recording the players. Had an attitude and she thought she was talking to a child. She lucky that I dont press charges on how she assaulted me on the way out. I was seating A1 part of the ICC club. A simple please sir we do not allow filming of the players. Theres a way to talk to people,5.0,,Jesus Cruz,485,complaint attendee game show people seat took job way serious literally hit shoulder game done phone recording player attitude thought talking child lucky dont press charge assaulted way seating part icc club simple please sir not allow filming player there way talk people,"['complaint', 'attendee', 'game', 'show', 'people', 'seat', 'took', 'job', 'way', 'serious', 'literally', 'hit', 'shoulder', 'game', 'done', 'phone', 'recording', 'player', 'attitude', 'thought', 'talking', 'child', 'lucky', 'dont', 'press', 'charge', 'assaulted', 'way', 'seating', 'part', 'icc', 'club', 'simple', 'please', 'sir', 'not', 'allow', 'filming', 'player', 'there', 'way', 'talk', 'people']",43,485,-0.166,negative
Jon Rush,False,2,4,3,It was OK but not a place I would go again unless something imperative came up. Give charlotte itself a year or so and it could change the experience.,3 months ago,Weekend,1 hr,Yes,It was OK but not a place I would go again unless something imperative came up. Give charlotte itself a year or so and it could change the experience.,3.0,,Jon Rush,150,not place would unless something imperative came give charlotte year could change experience,"['not', 'place', 'would', 'unless', 'something', 'imperative', 'came', 'give', 'charlotte', 'year', 'could', 'change', 'experience']",13,150,0.2421,positive
Bernice Mills,True,65,15,1,First time seeing a concert here and I bought in the floor section but they need to make sure that the person buying those seats next to other people actually fit one seat and they need to make them buy more than one seat. The people beside me thankfully we're on the end and a couple and they slid over so I had enough room because the gentleman on the other side of me was halfway into my seat,4 months ago,Weekday,,Yes,First time seeing a concert here and I bought in the floor section but they need to make sure that the person buying those seats next to other people actually fit one seat and they need to make them buy more than one seat. The people beside me thankfully we're on the end and a couple and they slid over so I had enough room because the gentleman on the other side of me was halfway into my seat,1.0,,Bernice Mills,395,first time seeing concert bought floor section need make sure person buying seat next people actually fit one seat need make buy one seat people beside thankfully end couple slid enough room gentleman side halfway seat,"['first', 'time', 'seeing', 'concert', 'bought', 'floor', 'section', 'need', 'make', 'sure', 'person', 'buying', 'seat', 'next', 'people', 'actually', 'fit', 'one', 'seat', 'need', 'make', 'buy', 'one', 'seat', 'people', 'beside', 'thankfully', 'end', 'couple', 'slid', 'enough', 'room', 'gentleman', 'side', 'halfway', 'seat']",36,395,0.872,positive
Stephanie,True,89,32,4,Im not sure buying tickets in advance helped because I still had to wait an hour to enter.,4 months ago,Weekday,1 hr,Yes,Im not sure buying tickets in advance helped because I still had to wait an hour to enter.,4.0,,Stephanie,90,not sure buying ticket advance helped still wait hour enter,"['not', 'sure', 'buying', 'ticket', 'advance', 'helped', 'still', 'wait', 'hour', 'enter']",10,90,-0.2411,negative
Parker Varin,True,101,9,1,"Great arena, very clean with good views, but the security people really need to chill out. You're not allowed to bring ANY batteries in and the security people care way too much so the line takes forever. I had my 50 vape on me and they told me to throw it away if I wanted to get in. I told them it's no longer a vape if I throw away the pod, but they didn't care. You're not allowed to bring ANY batteries in. No cell phone chargers or vapes or any types of batteries other than cellphones. You have to sneak out and back in and bring a vape. It's a bit of a hassle and makes the line take way too long.",4 months ago,Weekday,1030 min,Yes,"Great arena, very clean with good views, but the security people really need to chill out. You're not allowed to bring ANY batteries in and the security people care way too much so the line takes forever. I had my 50 vape on me and they told me to throw it away if I wanted to get in. I told them it's no longer a vape if I throw away the pod, but they didn't care. You're not allowed to bring ANY batteries in. No cell phone chargers or vapes or any types of batteries other than cellphones. You have to sneak out and back in and bring a vape. It's a bit of a hassle and makes the line take way too long.",1.0,,Parker Varin,605,great arena clean good view security people really need chill not allowed bring battery security people care way much line take forever vape told throw away wanted get told longer vape throw away pod care not allowed bring battery cell phone charger vapes type battery cellphone sneak back bring vape bit hassle make line take way long,"['great', 'arena', 'clean', 'good', 'view', 'security', 'people', 'really', 'need', 'chill', 'not', 'allowed', 'bring', 'battery', 'security', 'people', 'care', 'way', 'much', 'line', 'take', 'forever', 'vape', 'told', 'throw', 'away', 'wanted', 'get', 'told', 'longer', 'vape', 'throw', 'away', 'pod', 'care', 'not', 'allowed', 'bring', 'battery', 'cell', 'phone', 'charger', 'vapes', 'type', 'battery', 'cellphone', 'sneak', 'back', 'bring', 'vape', 'bit', 'hassle', 'make', 'line', 'take', 'way', 'long']",57,605,0.9416,positive
Leslie Barrow,True,129,1085,4,"I guess for the most part I had a pretty decent experience. I didn't like the fact that they don't allow selfie sticks, but of course they don't tell you that until you get up to the very front of the line and then they turn you away unless you plan on throwing your selfie stick in the garbage. I also didn't like the fact that supposedly you can't have the calf on your drink if you purchase one there. However, I saw multiple people walking around with the caps to their drinks. But the lady that I purchased my drink from made me throw mines in the garbage. Not impressed with how they do things there at all. Nonetheless, I did enjoy the game. The next time I'll just fly out someplace and go to a different arena.",4 months ago,Weekday,Up to 10 min,Yes,"I guess for the most part I had a pretty decent experience. I didn't like the fact that they don't allow selfie sticks, but of course they don't tell you that until you get up to the very front of the line and then they turn you away unless you plan on throwing your selfie stick in the garbage. I also didn't like the fact that supposedly you can't have the calf on your drink if you purchase one there. However, I saw multiple people walking around with the caps to their drinks. But the lady that I purchased my drink from made me throw mines in the garbage. Not impressed with how they do things there at all. Nonetheless, I did enjoy the game. The next time I'll just fly out someplace and go to a different arena.",4.0,,Leslie Barrow,719,guess part pretty decent experience like fact allow selfie stick course tell get front line turn away unless plan throwing selfie stick garbage also like fact supposedly can't calf drink purchase one however saw multiple people walking around cap drink lady purchased drink made throw mine garbage not impressed thing nonetheless enjoy game next time fly someplace different arena,"['guess', 'part', 'pretty', 'decent', 'experience', 'like', 'fact', 'allow', 'selfie', 'stick', 'course', 'tell', 'get', 'front', 'line', 'turn', 'away', 'unless', 'plan', 'throwing', 'selfie', 'stick', 'garbage', 'also', 'like', 'fact', 'supposedly', ""can't"", 'calf', 'drink', 'purchase', 'one', 'however', 'saw', 'multiple', 'people', 'walking', 'around', 'cap', 'drink', 'lady', 'purchased', 'drink', 'made', 'throw', 'mine', 'garbage', 'not', 'impressed', 'thing', 'nonetheless', 'enjoy', 'game', 'next', 'time', 'fly', 'someplace', 'different', 'arena']",59,719,-0.0906,negative
